Provinsi,Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah dan Guru(<S1),Kepala Sekolah dan Guru(>S1),Tenaga Kependidikan(SM),Tenaga Kependidikan(>SM),Rombongan Belajar,Ruang kelas(baik),Ruang kelas(rusak ringan),Ruang kelas(rusak sedang),Ruang kelas(rusak berat),Total_Rusak,Total_Kelas,Total_Guru,Rasio_Putus_Sekolah,Rasio_Mengulang,Persen_Kelas_Rusak,Rasio_Siswa_Guru,Persen_Guru_S1_Plus,ProvShort
Prov. D.K.I. Jakarta,2224,756455,1202,869,1089,38305,6967,1569,27830,23320,3886,717,345,4948,28268,39394,0.115,0.159,17.5,19.2,97.24,DKI Jakarta
Prov. Jawa Barat,19553,4487262,4778,5675,5007,209252,27487,3353,169704,59592,46006,34432,14397,94835,154427,214259,0.126,0.106,61.41,20.94,97.66,Jabar
Prov. Jawa Tengah,18618,2595050,6909,2399,2337,167535,21325,2473,127266,51050,42356,26321,13457,82134,133184,169872,0.092,0.266,61.67,15.28,98.62,Jateng
Prov. D.I. Yogyakarta,1846,270610,357,75,326,19771,4536,866,13719,8217,3878,1827,548,6253,14470,20097,0.028,0.132,43.21,13.47,98.38,DIY
Prov. Jawa Timur,18980,2530849,4694,3327,2950,180465,21116,3818,134724,58679,42896,24218,14389,81503,140182,183415,0.131,0.185,58.14,13.8,98.39,Jatim
Prov. Aceh,3532,489863,1406,905,2062,47490,6024,1096,25829,10261,7483,6076,3122,16681,26942,49552,0.185,0.287,61.91,9.89,95.84,Aceh
Prov. Sumatera Utara,9751,1524481,4896,4390,3279,108599,12157,2015,74970,33726,21203,14880,9371,45454,79180,111878,0.288,0.321,57.41,13.63,97.07,Sumut
Prov. Sumatera Barat,4206,592365,4643,858,1022,47064,9043,2167,31481,12164,9121,7904,3600,20625,32789,48086,0.145,0.784,62.9,12.32,97.87,Sumbar
Prov. Riau,3815,776574,4446,1388,2214,50310,7296,1334,35120,15935,8745,6458,3719,18922,34857,52524,0.179,0.573,54.28,14.79,95.78,Riau
Prov. Jambi,2464,368620,2006,835,1177,26403,4562,794,18911,6857,5787,4701,2377,12865,19722,27580,0.227,0.544,65.23,13.37,95.73,Jambi
Prov. Sumatera Selatan,4719,882011,6469,1976,2171,59059,9744,1676,40713,15358,10839,8665,3522,23026,38384,61230,0.224,0.733,59.99,14.4,96.45,Sumsel
Prov. Lampung,4726,798892,2412,833,2096,55421,6589,821,38340,13582,11111,9451,3884,24446,38028,57517,0.104,0.302,64.28,13.89,96.36,Lampung
