Provinsi,Siswa,Sekolah,Rasio_Putus_Sekolah,Rasio_Mengulang,Persen_Kelas_Rusak,Rasio_Siswa_Guru,Persen_Guru_S1_Plus,Rank_Siswa,Rank_Putus_Sekolah,Rank_Kelas_Rusak
Prov. Jawa Barat,4487262,19553,0.126,0.106,61.41,20.94,97.66,1,32,21
Prov. Jawa Tengah,2595050,18618,0.092,0.266,61.67,15.28,98.62,2,35,20
Prov. Jawa Timur,2530849,18980,0.131,0.185,58.14,13.8,98.39,3,31,26
Prov. Sumatera Utara,1524481,9751,0.288,0.321,57.41,13.63,97.07,4,13,28
Prov. Banten,1203432,4610,0.148,0.212,49.24,20.62,97.33,5,29,34
Prov. Sulawesi Selatan,883153,6434,0.183,0.374,65.85,12.5,97.71,6,24,8
Prov. Sumatera Selatan,882011,4719,0.224,0.733,59.99,14.4,96.45,7,19,23
Prov. Lampung,798892,4726,0.104,0.302,64.28,13.89,96.36,8,34,13
Prov. Riau,776574,3815,0.179,0.573,54.28,14.79,95.78,9,25,31
Prov. D.K.I. Jakarta,756455,2224,0.115,0.159,17.5,19.2,97.24,10,33,38
Prov. Nusa Tenggara Timur,663307,5225,0.418,1.34,68.94,11.98,95.56,11,10,5
Prov. Sumatera Barat,592365,4206,0.145,0.784,62.9,12.32,97.87,12,30,16
Prov. Kalimantan Barat,563178,4447,0.235,1.74,64.62,14.04,95.64,13,17,11
Prov. Nusa Tenggara Barat,512620,3330,0.241,0.293,66.84,11.67,97.1,14,16,7
Prov. Aceh,489863,3532,0.185,0.287,61.91,9.89,95.84,15,23,19
Prov. Kalimantan Timur,419472,1929,0.159,0.492,46.04,15.88,97.43,16,27,35
Prov. Bali,383616,2409,0.047,0.048,51.06,15.08,98.64,17,36,32
Prov. Jambi,368620,2464,0.227,0.544,65.23,13.37,95.73,18,18,10
Prov. Kalimantan Selatan,353174,2920,0.151,0.906,58.57,11.72,97.39,19,28,24
Prov. Sulawesi Tengah,312352,2944,0.331,0.962,62.5,10.99,93.06,20,12,17
Prov. Sulawesi Tenggara,294170,2347,0.267,0.559,65.76,10.67,96.4,21,14,9
Prov. Kalimantan Tengah,276421,2650,0.244,1.015,63.52,10.68,96.7,22,15,15
Prov. D.I. Yogyakarta,270610,1846,0.028,0.132,43.21,13.47,98.38,23,37,36
Prov. Kepulauan Riau,227249,982,0.169,0.286,37.65,15.75,96.03,24,26,37
Prov. Sulawesi Utara,218823,2209,0.199,0.333,58.33,11.09,95.65,25,22,25
Prov. Maluku,206984,1815,0.52,0.934,64.41,11.27,89.0,26,7,12
Prov. Bengkulu,194870,1407,0.2,0.674,63.76,11.56,96.99,27,21,14
Prov. Kepulauan Bangka Belitung,161703,833,0.205,0.743,54.8,16.54,97.97,28,20,30
Prov. Sulawesi Barat,143300,1329,0.357,0.762,72.13,10.15,92.66,29,11,1
Prov. Papua Tengah,143052,553,0.773,2.615,62.38,27.9,84.07,30,2,18
Prov. Maluku Utara,141138,1317,0.446,0.798,71.41,11.12,88.45,31,8,2
Prov. Papua Pegunungan,140165,665,0.662,2.838,69.44,34.24,75.38,32,3,4
Prov. Papua,116836,831,0.557,1.374,66.85,15.29,89.13,33,5,6
Prov. Gorontalo,108058,931,0.424,1.338,55.01,12.54,98.15,34,9,29
Prov. Papua Selatan,94976,606,0.986,5.268,69.8,21.25,86.29,35,1,3
Prov. Kalimantan Utara,79877,485,0.235,0.456,50.53,12.85,97.3,36,17,33
Prov. Papua Barat,71737,569,0.661,2.856,57.7,13.22,90.18,37,4,27
Prov. Papua Barat Daya,60227,547,0.555,2.237,60.01,11.6,94.63,38,6,22
